Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[4, 0]	['1', '4']	0	0.8784648187633263	0.8784648187633263	2	315.3869389035125	9771	2859	0.4	617.4673472587813	412	469	67	76	1
[4, 3]	['1', '21']	1	0.1206140350877193	0.1206140350877193	1	310.21535023659055	9969	2984	0.4	302.26918779573816	55	456	9	75	1
[2, 3, 0]	[[15.515000000000015, 50.561438867316625], '21', '4']	0	1.0	1.0	1	365.76877312	9484	3038	0.6	365.76877312	12	12	2	2	1
[2, 3]	[[1014.4449999999999, 1205.18], '22']	1	1.0	1.0	2	188.14681102448253	9967	3055	0.4	376.29362204896506	60	60	10	10	1
[2]	[[617.47, 985.717965749764]]	1	1.0	1.0	10	246.5801988060861	9969	3057	0.2	2465.801988060861	96	96	16	16	1
[2, 3]	[[397.795, 664.345], '23']	1	1.0	1.0	25	269.79273668424537	9993	3081	0.4	147195.26418555033	24	24	4	4	1
[2]	[[663.375, 986.625]]	1	1.0	1.0	3	237.0672606935728	9969	3110	0.2	711.2017820807184	65	65	11	11	1
[2, 4]	[[734.47, 983.611810668476], '1']	1	1.0	1.0	1	234.73861309036587	9969	3202	0.4	234.73861309036587	40	40	7	7	1
[2]	[[1014.4449999999999, 1271.065]]	1	1.0	1.0	11	188.14683323930743	9967	3273	0.2	2069.615165632382	59	59	10	10	1
[2]	[[-80.48499999999999, 294.485]]	0	0.9766827980642323	0.9766827980642323	1	327.834752328159	9983	3279	0.2	324.35046955116957	4440	4546	762	780	1
[2]	[[568.7950000000001, 1047.205]]	1	1.0	1.0	5	242.45847056050283	9969	3300	0.2	1212.2923528025142	150	150	26	26	1
[1, 0]	['2', '5']	0	0.9451685393258427	0.9451685393258427	1	290.3876544187406	9983	3313	0.4	302.73456802342577	2103	2225	363	384	1
[2]	[[424.635, 1213.365]]	1	0.8612244897959184	0.8612244897959184	1	239.92689860214273	9993	3398	0.2	239.92689860214273	211	245	37	43	1
[2]	[[-124.30000000000001, 464.365]]	0	0.9741581832419733	0.9741581832419733	1	317.2724788414843	9994	3409	0.2	312.9545863082408	6220	6385	1088	1116	1
[2]	[[785.285, 134.3]]	1	0.1	1.0	1	142.7538964005641	3454	3454	0.2	142.7538964005641	0	0	0	0	1
[4, 1]	['0', '2']	0	0.972952086553323	0.972952086553323	10	329.400951201176	9994	3508	0.4	3297.5148625183747	1259	1294	225	231	1
[2, 4, 0]	[[734.47, 134.3], '2', '5']	1	0.1	1.0	1	119.26442752	3512	3512	0.6	119.26442752	0	0	0	0	1
[2]	[[-124.30000000000001, 533.62]]	0	0.9740384615384615	0.9740384615384615	1	317.2724788414843	9994	3565	0.2	312.9545863082408	6078	6240	1089	1117	1
[2, 3]	[[1068.8919518839996, 1205.18], '21']	1	0.1	1.0	1	173.347072	3577	3577	0.4	173.347072	0	0	0	0	1
[2]	[[473.375, 796.625]]	1	1.0	1.0	11	264.9816896095621	9896	3577	0.2	2914.7985857051835	67	67	12	12	1
[2, 1, 4]	[[237.655, 664.345], '2', '1']	1	0.10789980732177264	0.10789980732177264	1	295.3377662191406	9971	3594	0.6	308.9222077739257	56	519	10	93	1
[2]	[[6.050000000000011, 239.95]]	0	0.9836877366734634	0.9836877366734634	9	328.7413202811138	9983	3622	0.2	2939.073931958067	3377	3433	607	617	1
[2]	[[-124.30000000000001, 644.76]]	0	0.9657954178767344	0.9657954178767344	8	317.2724788387927	9994	3665	0.2	2503.6366904002125	5986	6198	1089	1127	1
[2, 1]	[[764.5162923604619, 771.0986446986899], '2']	1	0.1	1.0	1	140.74764680550453	3682	3682	0.4	140.74764680550453	0	0	0	0	1
[2]	[[-124.30000000000001, 720.875]]	0	0.9638515156427298	0.9638515156427298	1	317.2724788387927	9994	3706	0.2	312.95458630002656	5946	6169	1089	1129	1
