LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
6	2	335	22	1	0
4	2	95	23	1	0
5	2	154	23	1	0
6	2	189	23	1	0
4	2	210	21	2	0
5	2	332	21	2	0
6	2	349	21	2	0
4	2	192	22	2	0
5	2	285	22	2	0
6	2	372	22	2	0
4	2	111	23	2	0
5	2	238	23	2	0
6	2	313	23	2	0
4	2	237	21	3	0
5	2	369	21	3	0
6	2	367	21	3	0
4	2	178	22	3	0
5	2	297	22	3	0
6	2	361	22	3	0
4	2	127	23	3	0
5	2	248	23	3	0
6	2	242	23	3	0
4	2	239	21	4	0
5	2	387	21	4	0
6	2	362	21	4	0
4	2	201	22	4	0
5	2	380	22	4	0
6	2	424	22	4	0
4	2	159	23	4	0
5	2	295	23	4	0
6	2	329	23	4	0
4	2	205	21	0	0
5	2	300	21	0	0
6	2	336	21	0	0
4	2	172	22	0	0
5	2	325	22	0	0
6	2	350	22	0	0
4	2	89	23	0	0
5	2	191	23	0	0
6	2	214	23	0	0
4	2	124	21	1	0
5	2	220	21	1	0
6	2	239	21	1	0
4	2	103	22	1	0
5	2	186	22	1	0
6	2	187	22	1	0
4	2	72	23	1	0
5	2	149	23	1	0
6	2	125	23	1	0
4	2	105	21	2	0
5	2	190	21	2	0
6	2	223	21	2	0
4	2	103	22	2	0
5	2	158	22	2	0
6	2	183	22	2	0
4	2	65	23	2	0
5	2	116	23	2	0
6	2	134	23	2	0
4	2	147	21	3	0
5	2	210	21	3	0
6	2	211	21	3	0
4	2	92	22	3	0
5	2	223	22	3	0
6	2	259	22	3	0
4	2	59	23	3	0
5	2	153	23	3	0
6	2	117	23	3	0
4	2	134	21	4	0
5	2	210	21	4	0
6	2	260	21	4	0
4	2	146	22	4	0
5	2	244	22	4	0
6	2	286	22	4	0
4	2	95	23	4	0
5	2	166	23	4	0
6	2	164	23	4	0
4	2	162	21	0	0
5	2	238	21	0	0
6	2	237	21	0	0
4	2	133	22	0	0
5	2	220	22	0	0
6	2	250	22	0	0
4	2	67	23	0	0
5	2	146	23	0	0
6	2	141	23	0	0
4	2	120	21	1	0
5	2	224	21	1	0
6	2	212	21	1	0
4	2	106	22	1	0
5	2	197	22	1	0
6	2	202	22	1	0
4	2	84	23	1	0
5	2	148	23	1	0
6	2	122	23	1	0
4	2	230	21	2	0
5	2	324	21	2	0
6	2	357	21	2	0
4	2	149	22	2	0
5	2	238	22	2	0
6	2	283	22	2	0
4	2	65	23	2	0
5	2	148	23	2	0
6	2	154	23	2	0
4	2	210	21	3	0
5	2	332	21	3	0
6	2	362	21	3	0
4	2	176	22	3	0
5	2	298	22	3	0
6	2	322	22	3	0
4	2	80	23	3	0
5	2	167	23	3	0
6	2	178	23	3	0
4	2	229	21	4	0
5	2	302	21	4	0
6	2	349	21	4	0
4	2	201	22	4	0
5	2	304	22	4	0
6	2	360	22	4	0
4	2	151	23	4	0
5	2	273	23	4	0
6	2	265	23	4	0
4	2	163	21	0	0
5	2	266	21	0	0
6	2	275	21	0	0
4	2	98	22	0	0
5	2	207	22	0	0
6	2	220	22	0	0
4	2	66	23	0	0
5	2	94	23	0	0
6	2	130	23	0	0
4	2	625	21	1	1
5	2	598	21	1	1
6	2	825	21	1	1
4	2	1193	22	1	1
5	2	869	22	1	1
6	2	1006	22	1	1
4	2	182	23	1	1
5	2	283	23	1	1
6	2	371	23	1	1
4	2	232	21	2	0
5	2	338	21	2	0
6	2	327	21	2	0
4	2	144	22	2	0
5	2	250	22	2	0
6	2	292	22	2	0
4	2	76	23	2	0
5	2	175	23	2	0
6	2	205	23	2	0
4	2	260	21	3	0
5	2	360	21	3	0
6	2	368	21	3	0
4	2	183	22	3	0
5	2	272	22	3	0
6	2	365	22	3	0
4	2	111	23	3	0
5	2	202	23	3	0
6	2	217	23	3	0
4	2	205	21	4	0
5	2	302	21	4	0
6	2	305	21	4	0
4	2	217	22	4	0
5	2	340	22	4	0
6	2	383	22	4	0
4	2	139	23	4	0
5	2	249	23	4	0
6	2	285	23	4	0
4	2	262	21	1	0
5	2	363	21	1	0
6	2	436	21	1	0
4	2	142	22	1	0
5	2	262	22	1	0
6	2	304	22	1	0
4	2	65	23	1	0
5	2	159	23	1	0
6	2	165	23	1	0
4	2	203	21	2	0
5	2	336	21	2	0
6	2	388	21	2	0
4	2	163	22	2	0
5	2	292	22	2	0
6	2	295	22	2	0
4	2	81	23	2	0
5	2	200	23	2	0
6	2	232	23	2	0
4	2	220	21	3	0
5	2	360	21	3	0
6	2	376	21	3	0
4	2	177	22	3	0
5	2	348	22	3	0
6	2	358	22	3	0
4	2	111	23	3	0
5	2	244	23	3	0
6	2	240	23	3	0
4	2	199	21	4	0
5	2	314	21	4	0
6	2	364	21	4	0
4	2	214	21	0	0
5	2	304	21	0	0
6	2	327	21	0	0
4	2	186	22	0	0
5	2	296	22	0	0
6	2	383	22	0	0
4	2	96	23	0	0
5	2	189	23	0	0
6	2	204	23	0	0
4	2	217	21	1	0
5	2	327	21	1	0
6	2	324	21	1	0
4	2	178	22	1	0
5	2	272	22	1	0
6	2	360	22	1	0
4	2	108	23	1	0
5	2	213	23	1	0
6	2	201	23	1	0
4	2	200	21	0	0
5	2	276	21	0	0
6	2	297	21	0	0
4	2	124	22	0	0
5	2	215	22	0	0
6	2	294	22	0	0
4	2	50	23	0	0
5	2	117	23	0	0
6	2	142	23	0	0
4	2	584	21	1	1
5	2	614	21	1	1
6	2	808	21	1	1
4	2	1058	22	1	1
5	2	900	22	1	1
6	2	1033	22	1	1
4	2	162	23	1	1
5	2	314	23	1	1
6	2	451	23	1	1
4	2	221	21	2	0
5	2	332	21	2	0
6	2	360	21	2	0
4	2	142	22	2	0
5	2	273	22	2	0
6	2	317	22	2	0
4	2	64	23	2	0
5	2	123	23	2	0
6	2	164	23	2	0
4	2	202	21	3	0
